Ukraine, 2018, 44622516
Ukraine, 2019, 44386203
Ukraine, 2020, 44134693
Ukraine, 2021, 43792855
Ukraine, 2022, 41000000

Poland, 2018, 37974750
Poland, 2019, 37972812
Poland, 2020, 37846611
Poland, 2021, 37797327
Poland, 2022, 37654247

Germany, 2018, 82905782
Germany, 2019, 83019200
Germany, 2020, 83166711
Germany, 2021, 83240525
Germany, 2022, 84086227

France, 2018, 66977107
France, 2019, 67059887
France, 2020, 67320216
France, 2021, 67549632
France, 2022, 67813000

Italy, 2018, 60431283
Italy, 2019, 59729081
Italy, 2020, 59554023
Italy, 2021, 59240329
Italy, 2022, 59037474

Spain, 2018, 46733038
Spain, 2019, 46934632
Spain, 2020, 47351567
Spain, 2021, 47486935
Spain, 2022, 47558630

Canada, 2018, 37072620
Canada, 2019, 37411047
Canada, 2020, 38005238
Canada, 2021, 38246108
Canada, 2022, 38929902

Japan, 2018, 126529100
Japan, 2019, 126264900
Japan, 2020, 125836021
Japan, 2021, 125502000
Japan, 2022, 124947000

United States, 2018, 326838199
United States, 2019, 328329953
United States, 2020, 331511512
United States, 2021, 331893745
United States, 2022, 333287557
